% This is the RIPE Database query service.
% The objects are in RPSL format.
%
% The RIPE Database is subject to Terms and Conditions.
% See https://docs.db.ripe.net/terms-conditions.html

% Note: this output has been filtered.
%       To receive output for a database update, use the "-B" flag.

% Information related to 'AS-NEWLINE'

as-set:         AS-NEWLINE
members:        AS-CITIUS
members:        AS-CORBINA-UA
members:        AS-CRELCOM
members:        AS-CYFRA-UA
members:        AS-DARLICS
members:        AS-DICS
members:        AS-DIDAN
members:        AS-DILINES
members:        AS-DIPT
members:        AS-DKS
members:        AS-DREAM
members:        AS-DANCOM
members:        AS-DSSZZI
members:        AS-EDN
members:        AS-ENBOX
members:        AS-EUNIC
members:        AS-EVPANET
members:        AS-EXPRESSUA
members:        AS-FARLINE
members:        AS-FENIXVT
members:        AS-FNT
members:        AS-FORMAT
members:        AS-IC
members:        AS-ICLUB
members:        AS-INET-UA
members:        AS-INFOKLAS-CUSTOMERS
members:        AS-INFTECH
members:        AS-INTERPHONE
members:        AS-INTS
members:        as-ipcom
members:        AS-ITT
members:        AS-IU
members:        AS-ISU
members:        AS-ISW
members:        AS-GLOBALLOGIC
members:        AS-GRAND
members:        AS-GOLDA
members:        AS-GOLTA-CUSTOMERS
members:        AS-GTS
members:        AS-HATANET
members:        AS-HOME-NET
members:        AS-HOSTPRO
members:        AS-KHERSONTELECOM
members:        AS-KPI-WORLD
members:        AS-KPX
members:        AS-KPGIC
members:        AS-LEOTEL
members:        AS-LINXTELECOM
members:        AS-LOCALKA
members:        AS-Luganet
members:        AS-LU
members:        AS-ns-luxoft
members:        AS-KIM
members:        AS-MAINSTREAM
members:        AS-MALTAPLUS_NEWNET
members:        AS-MASTER
members:        AS-MASTERNET
members:        AS-MATRIXNET
members:        AS-MEGABIT
members:        AS-MEGASTYLE
members:        AS-METRO-SET
members:        AS-MIROHOST
members:        AS-MIT_REL
members:        AS-MKU
members:        AS-MOLS
members:        AS-MOLS-GORL
members:        AS-MRNDA
members:        AS-MSS
members:        AS-MTELUA
members:        AS-MYST
members:        AS-MYPLUS
members:        AS-NASHNET
members:        AS-NEIRON
members:        AS-NEOHOST
members:        AS-NETGRUP
members:        AS-NETK
members:        AS-NL
members:        AS-NORMAPLUS
members:        AS-OMNILANCE
members:        AS-ONETELECOM
members:        AS-PICS
members:        AS-PIUA
members:        AS-POISK
members:        AS-POLYNET
members:        AS-PRIVATONLINE
members:        AS-PRETCHER
members:        AS-QOS
members:        AS-RCT
members:        AS-RENOME
members:        AS-RGNUA
members:        AS-RombNet
members:        AS-RALEDA
members:        AS-RNS
members:        AS-RS
members:        AS-SATURN
members:        AS-SDS
members:        AS-SEGODNYA
members:        AS-SKYLINE-TO-ODEX
members:        AS-SMN
members:        AS-S-NET
members:        AS-SERVER
members:        AS-SET_OPTOLAN
members:        AS-SETI-KR
members:        AS-SELECTEL
members:        AS-SILVERTELECOM
members:        AS-STARLINE
members:        AS-STELS
members:        AS-SIMTELECOM
members:        AS-SYNDICATE
members:        AS-SYNCHRON
members:        AS-TEAMDEV
members:        AS-TECC
members:        AS-TeleportSV
members:        AS-TENET-UA
members:        AS-TERNET
members:        AS-TH
members:        AS-TKS
members:        AS-TKTEL
members:        AS-TM
members:        AS-TSUKRAINE
members:        AS-TRIOLAN
members:        AS-VAK
members:        AS-VEDEKON
members:        AS-VIST-SERVICE
members:        AS-VNTU
members:        AS-VOLSBUD
members:        AS-UAIP
members:        AS-UANETPOINT
members:        AS-UA-NEOTEL
members:        AS-UATELNET
members:        AS-UOS
members:        as-ucma
members:        AS-UMB
members:        as-ukrdatacom
members:        AS-UHT
members:        AS-UHT-TRANSIT
members:        AS-URAN-INET
members:        AS-WDM
members:        AS-VINRADIONET
members:        AS-ZOL
members:        AS-ZSSM
members:        AS-XAT
members:        AS-UITN
members:        AS-UA-LINK
admin-c:        DCOM-RIPE
tech-c:         DCOM-RIPE
mnt-by:         DATACOM-NOC
created:        2003-10-22T07:11:02Z
last-modified:  2021-02-17T15:03:27Z
source:         RIPE

role:           DATACOM NOC
address:        PJSC DATAGROUP
address:        Smolenskaya str., 31-33
address:        03005 Kiyv
address:        Ukraine
remarks:        http://www.datagroup.ua
abuse-mailbox:  abuse@ip.datagroup.ua
remarks:        in case of abuse please contact: abuse@ip.datagroup.ua
remarks:        for operational issues please contact: noc@datagroup.ua
admin-c:        CRF-RIPE
admin-c:        SQV-RIPE
admin-c:        IGNT-RIPE
admin-c:        Vlas5-RIPE
admin-c:        QBRO-RIPE
tech-c:         CRF-RIPE
tech-c:         SQV-RIPE
tech-c:         IGNT-RIPE
tech-c:         Vlas5-RIPE
tech-c:         QBRO-RIPE
nic-hdl:        DCOM-RIPE
mnt-by:         DATACOM-NOC
created:        2002-07-02T08:26:20Z
last-modified:  2023-09-28T13:00:43Z
source:         RIPE # Filtered

% This query was served by the RIPE Database Query Service version 1.117 (DEXTER)


