as-set:         AS-RTD
members:        AS43899
members:        AS43925
members:        AS44081
members:        AS44106
members:        AS44157
members:        AS44184
members:        AS44220
members:        AS44580
members:        AS47142
members:        AS47516
members:        AS47559
members:        AS47574
members:        AS47890
members:        AS47991
members:        AS48012
members:        AS48063
members:        AS48161
members:        AS48332
members:        AS48338
members:        AS48537
members:        AS48562
members:        AS48669
members:        AS48754
members:        AS48810
members:        AS48836
members:        AS48843
members:        AS48865
members:        AS48881
members:        AS48928
members:        AS49020
members:        AS49021
members:        AS49023
members:        AS49052
members:        AS49077
members:        AS49164
members:        AS49169
members:        AS49174
members:        AS49203
members:        AS49256
members:        AS49266
members:        AS49295
members:        AS49384
members:        AS49468
members:        AS49626
members:        AS49645
members:        AS49688
members:        AS49774
members:        AS49907
members:        AS49909
members:        AS49918
members:        AS49948
members:        AS49986
members:        AS49990
members:        AS50102
members:        AS50252
members:        AS50347
members:        AS50402
members:        AS50424
members:        AS50604
members:        AS50887
members:        AS50945
members:        AS50991
members:        AS51076
members:        AS51094
members:        AS51098
members:        AS51102
members:        AS51177
members:        AS51202
members:        AS51240
members:        AS51284
members:        AS51461
members:        AS51480
members:        AS51689
members:        AS51746
members:        AS51799
members:        AS51832
members:        AS51854
members:        AS51911
members:        AS51970
members:        AS52044
members:        AS52159
members:        AS52189
members:        AS53565
members:        AS56417
members:        AS56499
members:        AS56502
members:        AS56519
members:        AS56684
members:        AS56729
members:        AS56750
members:        AS56770
members:        AS56885
members:        AS56908
members:        AS57060
members:        AS57071
members:        AS57080
members:        AS57082
members:        AS57126
members:        AS57180
members:        AS57316
members:        AS57322
members:        AS57446
members:        AS57464
members:        AS57635
members:        AS57647
members:        AS57746
members:        AS57964
members:        AS58022
members:        AS58023
members:        AS58043
members:        AS58052
members:        AS58170
members:        AS58174
members:        AS58180
members:        AS58195
members:        AS59398
members:        AS59400
members:        AS59532
members:        AS59610
members:        AS59632
members:        AS59765
members:        AS59854
members:        AS59938
members:        AS60020
members:        AS60026
members:        AS60033
members:        AS60077
members:        AS60100
members:        AS60104
members:        AS60201
members:        AS60403
members:        AS60453
members:        AS60615
members:        AS60694
members:        AS60766
members:        AS60905
members:        AS60907
members:        AS60909
members:        AS61204
members:        AS61279
members:        AS61353
members:        AS61388
members:        AS61412
members:        AS61958
members:        AS62030
members:        AS62032
members:        AS62042
members:        AS62053
members:        AS62124
members:        AS62151
members:        AS62162
members:        AS62306
members:        AS62315
members:        AS62343
members:        AS62388
members:        AS62445
members:        AS64471
members:        AS197134
members:        AS198223
members:        AS198914
members:        AS199498
members:        AS201805
members:        AS202779
members:        AS203574
members:        AS203775
members:        AS203929
members:        AS204156
members:        AS205080
members:        AS205087
members:        AS205275
members:        AS205332
members:        AS206382
members:        AS207752
members:        AS207913
members:        AS208179
members:        AS210713
members:        AS210840
members:        AS211327
members:        AS211412
members:        AS211663
members:        AS212593
members:        AS212929
members:        AS212938
members:        AS213323
members:        AS214330
members:        AS214529
members:        AS214530
members:        AS214890
members:        AS215417
members:        AS215545
members:        AS215945
members:        AS216088
members:        AS202332
members:        AS205614:AS-ALL
members:        AS198540
members:        AS44418
admin-c:        DUMY-RIPE
tech-c:         DUMY-RIPE
mnt-by:         AS8953-MNT
created:        2003-11-14T13:31:42Z
last-modified:  2026-07-20T12:30:42Z
source:         RIPE
remarks:        ****************************
remarks:        * THIS OBJECT IS MODIFIED
remarks:        * Please note that all data that is generally regarded as personal
remarks:        * data has been removed from this object.
remarks:        * To view the original object, please query the RIPE Database at:
remarks:        * http://www.ripe.net/whois
remarks:        ****************************
